epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8571,4.20507,3.93999,2.71156,0.45034,0.04307,0.03664,0.01334,2.82388,2.4562,1.5775,0.0701478,0.00331691,0.00331691
2,150.078,2.48181,2.27009,1.41376,0.19788,0.10984,0.07324,0.03068,2.22719,1.88614,1.24871,0.0401039,0.00660635,0.00660635
3,208.735,2.25007,2.03014,1.28807,0.06953,0.16812,0.0682,0.02902,2.21566,2.05345,1.22954,0.010016,0.0098518,0.0098518
4,270.044,2.08474,1.84358,1.22559,0.15805,0.14224,0.0985,0.04835,2.00049,1.60045,1.17745,0.009802,0.009802,0.009802
5,331.771,1.97075,1.70656,1.1801,0.17334,0.17012,0.12585,0.06181,1.84338,1.51384,1.11125,0.009736,0.009736,0.009736
6,393.297,1.88305,1.61432,1.14931,0.20045,0.19663,0.1407,0.07207,1.73827,1.4169,1.08612,0.00967,0.00967,0.00967
7,454.897,1.82995,1.53969,1.12695,0.21147,0.19142,0.14901,0.0765,1.74395,1.39689,1.08768,0.009604,0.009604,0.009604
8,516.226,1.78272,1.49331,1.11291,0.23065,0.1983,0.15041,0.08039,1.70677,1.41332,1.07198,0.009538,0.009538,0.009538
9,576.572,1.76056,1.45312,1.10253,0.25353,0.20497,0.16977,0.09022,1.6614,1.30216,1.06238,0.009472,0.009472,0.009472
10,638.378,1.73304,1.41777,1.09526,0.25646,0.21532,0.17945,0.09659,1.6419,1.32505,1.05028,0.009406,0.009406,0.009406
11,696.808,1.70324,1.38576,1.08825,0.3567,0.21133,0.17497,0.09441,1.61226,1.27088,1.04093,0.00934,0.00934,0.00934
12,753.245,1.67143,1.349,1.07334,0.37293,0.22398,0.19735,0.10582,1.54797,1.21678,1.02575,0.009274,0.009274,0.009274
13,810.222,1.66919,1.34436,1.07859,0.28158,0.22922,0.19269,0.10465,1.55073,1.21241,1.02439,0.009208,0.009208,0.009208
14,866.524,1.64984,1.31927,1.06896,0.28765,0.22964,0.19792,0.10833,1.55757,1.19924,1.02283,0.009142,0.009142,0.009142
15,923.219,1.63503,1.30538,1.06448,0.29043,0.24065,0.21047,0.11503,1.53497,1.1732,1.01714,0.009076,0.009076,0.009076
16,979.671,1.6181,1.2839,1.06168,0.29083,0.23376,0.2073,0.11518,1.54095,1.18866,1.01659,0.00901,0.00901,0.00901
17,1036.13,1.61281,1.27607,1.05192,0.28855,0.23928,0.20153,0.10941,1.52239,1.19426,1.01392,0.008944,0.008944,0.008944
18,1092.29,1.60912,1.26751,1.04972,0.29836,0.2365,0.21499,0.11665,1.51489,1.17013,1.02101,0.008878,0.008878,0.008878
19,1148.84,1.58866,1.24949,1.04522,0.33504,0.24842,0.22268,0.12115,1.50068,1.1468,1.01251,0.008812,0.008812,0.008812
20,1206.68,1.58004,1.23926,1.04811,0.3358,0.24252,0.2275,0.12521,1.47982,1.14319,1.00306,0.008746,0.008746,0.008746
21,1263.08,1.5762,1.23104,1.04276,0.34759,0.25599,0.22944,0.12615,1.47975,1.15572,1.00133,0.00868,0.00868,0.00868
22,1318.98,1.56031,1.21367,1.03965,0.3387,0.23796,0.23486,0.12872,1.48252,1.12864,1.00859,0.008614,0.008614,0.008614
23,1375.06,1.55578,1.20658,1.03417,0.33314,0.2593,0.23779,0.1313,1.45136,1.10276,0.99702,0.008548,0.008548,0.008548
24,1430.98,1.54961,1.20413,1.03416,0.32711,0.24291,0.2316,0.1284,1.47085,1.1285,0.99869,0.008482,0.008482,0.008482
25,1486.65,1.53785,1.19038,1.03259,0.31826,0.25233,0.2333,0.12885,1.46282,1.11475,0.99579,0.008416,0.008416,0.008416
26,1542.22,1.53748,1.18735,1.03193,0.31966,0.26716,0.23859,0.13233,1.46873,1.14603,0.99654,0.00835,0.00835,0.00835
27,1598.31,1.52079,1.17602,1.02718,0.33219,0.26341,0.24637,0.13848,1.43133,1.0934,0.98812,0.008284,0.008284,0.008284
28,1654.29,1.53225,1.17479,1.0286,0.3436,0.25776,0.24213,0.13528,1.43125,1.08017,0.98706,0.008218,0.008218,0.008218
29,1709.75,1.52164,1.16845,1.026,0.33911,0.26197,0.25143,0.14053,1.42355,1.07961,0.98383,0.008152,0.008152,0.008152
30,1765.72,1.5132,1.16354,1.02566,0.36409,0.25969,0.25075,0.13926,1.41004,1.09599,0.9827,0.008086,0.008086,0.008086
31,1821.2,1.5147,1.16136,1.02171,0.34623,0.26207,0.24653,0.13724,1.42336,1.08372,0.98529,0.00802,0.00802,0.00802
32,1876.62,1.50638,1.14845,1.01893,0.33784,0.27753,0.25601,0.14306,1.4193,1.06867,0.98538,0.007954,0.007954,0.007954
33,1932.7,1.50387,1.14522,1.02046,0.34832,0.27862,0.26004,0.14606,1.40856,1.06682,0.98133,0.007888,0.007888,0.007888
34,1988.75,1.49897,1.14358,1.0152,0.35311,0.28092,0.26438,0.14833,1.39775,1.05845,0.97754,0.007822,0.007822,0.007822
35,2044.53,1.50139,1.13728,1.01572,0.36903,0.27587,0.26499,0.14854,1.40241,1.05038,0.98122,0.007756,0.007756,0.007756
36,2100.28,1.48254,1.12415,1.01415,0.3564,0.28432,0.26714,0.14932,1.39626,1.07623,0.97969,0.00769,0.00769,0.00769
37,2156.16,1.48484,1.12555,1.01343,0.35792,0.2705,0.26166,0.14665,1.39128,1.04204,0.97552,0.007624,0.007624,0.007624
38,2211.75,1.47485,1.11231,1.0106,0.36377,0.27834,0.26591,0.14905,1.39498,1.04393,0.97757,0.007558,0.007558,0.007558
39,2267.11,1.46961,1.11237,1.01317,0.3673,0.28098,0.267,0.15057,1.39033,1.05173,0.9731,0.007492,0.007492,0.007492
40,2323.13,1.47269,1.11455,1.01117,0.36719,0.27089,0.26187,0.14816,1.38657,1.05297,0.97495,0.007426,0.007426,0.007426
41,2378.7,1.48008,1.11037,1.00706,0.36188,0.2789,0.26684,0.15028,1.40783,1.07496,0.97283,0.00736,0.00736,0.00736
42,2434.66,1.50463,1.12949,1.00395,0.35387,0.28161,0.26312,0.14932,1.42498,1.07861,0.96912,0.007294,0.007294,0.007294
43,2490.09,1.49249,1.12556,1.0026,0.37534,0.28576,0.27397,0.15518,1.41071,1.05214,0.96469,0.007228,0.007228,0.007228
44,2546.35,1.5016,1.12862,1.00327,0.36973,0.28367,0.27317,0.15451,1.40927,1.07006,0.96366,0.007162,0.007162,0.007162
45,2601.79,1.50078,1.1347,1.00118,0.38196,0.2908,0.28009,0.15915,1.40434,1.05715,0.96182,0.007096,0.007096,0.007096
46,2657.64,1.49827,1.12448,0.99632,0.38636,0.29539,0.28198,0.15998,1.40725,1.05539,0.95944,0.00703,0.00703,0.00703
47,2713.91,1.48819,1.1209,0.99363,0.37485,0.28846,0.27645,0.15632,1.41086,1.05834,0.96078,0.006964,0.006964,0.006964
48,2769.48,1.49696,1.13035,0.99437,0.37968,0.29503,0.28171,0.15886,1.3979,1.05195,0.95819,0.006898,0.006898,0.006898
49,2824.96,1.47853,1.11258,0.98785,0.3729,0.29672,0.28102,0.16011,1.39102,1.04358,0.95574,0.006832,0.006832,0.006832
50,2880.85,1.48412,1.12155,0.99282,0.39339,0.28845,0.28463,0.16192,1.38339,1.03827,0.95428,0.006766,0.006766,0.006766
51,2936.67,1.47619,1.111,0.98955,0.39017,0.29108,0.28186,0.15975,1.39146,1.04532,0.9531,0.0067,0.0067,0.0067
52,2992.25,1.47648,1.10559,0.98645,0.38914,0.29612,0.2865,0.16167,1.38533,1.03566,0.95207,0.006634,0.006634,0.006634
53,3047.44,1.46957,1.09847,0.98345,0.36531,0.30275,0.28719,0.16221,1.38755,1.03473,0.95159,0.006568,0.006568,0.006568
