epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1554,3.35961,2.99517,2.18012,0.29021,0.126,0.07724,0.03277,2.27629,2.00899,1.33159,0.0701478,0.00331691,0.00331691
2,134.716,2.19656,1.87984,1.30998,0.13785,0.16057,0.10413,0.04595,1.99847,1.61354,1.1886,0.0401039,0.00660635,0.00660635
3,185.953,2.08494,1.71897,1.22707,0.26906,0.16155,0.11277,0.05152,1.95421,1.77721,1.1538,0.010016,0.0098518,0.0098518
4,235.842,1.9629,1.60407,1.17888,0.18683,0.17108,0.13149,0.06675,1.76838,1.45948,1.09284,0.009802,0.009802,0.009802
5,286.059,1.85735,1.50243,1.13673,0.25587,0.21108,0.1645,0.08464,1.70092,1.37885,1.07707,0.009736,0.009736,0.009736
6,336.451,1.78905,1.43713,1.11194,0.23239,0.21064,0.16253,0.08292,1.7042,1.37177,1.06193,0.00967,0.00967,0.00967
7,386.171,1.74549,1.37688,1.0939,0.27617,0.23436,0.19197,0.10237,1.61789,1.26175,1.05126,0.009604,0.009604,0.009604
8,436.616,1.70607,1.34298,1.08367,0.27363,0.23858,0.199,0.1052,1.6299,1.26284,1.04135,0.009538,0.009538,0.009538
9,486.858,1.68962,1.31664,1.07476,0.26551,0.22989,0.18587,0.09943,1.62954,1.28561,1.04756,0.009472,0.009472,0.009472
10,536.398,1.66171,1.28453,1.06812,0.28445,0.25028,0.21593,0.11732,1.55062,1.205,1.02278,0.009406,0.009406,0.009406
11,586.625,1.63523,1.25847,1.06228,0.31475,0.24828,0.21941,0.11777,1.54694,1.18959,1.02193,0.00934,0.00934,0.00934
12,636.761,1.6112,1.23022,1.04998,0.32746,0.25471,0.22673,0.12293,1.51511,1.15503,1.00909,0.009274,0.009274,0.009274
13,686.892,1.60856,1.22494,1.05592,0.3195,0.24803,0.22625,0.12603,1.4964,1.1541,1.0073,0.009208,0.009208,0.009208
14,736.95,1.59093,1.20516,1.047,0.32918,0.25156,0.23327,0.12738,1.50896,1.13904,1.01307,0.009142,0.009142,0.009142
15,786.922,1.57689,1.19671,1.04313,0.337,0.26326,0.24223,0.13198,1.46694,1.11096,0.99885,0.009076,0.009076,0.009076
16,836.653,1.5653,1.17723,1.04154,0.33458,0.25435,0.24258,0.13437,1.47622,1.12484,1.00046,0.00901,0.00901,0.00901
17,886.66,1.5613,1.17266,1.03363,0.32991,0.25588,0.23988,0.13115,1.45738,1.11562,0.99754,0.008944,0.008944,0.008944
18,936.124,1.55868,1.16578,1.03202,0.33525,0.27302,0.2492,0.137,1.46484,1.09382,1.00196,0.008878,0.008878,0.008878
19,986.11,1.54135,1.1507,1.02824,0.33744,0.26775,0.24523,0.13576,1.46753,1.09596,1.00118,0.008812,0.008812,0.008812
20,1035.72,1.53225,1.14081,1.03147,0.37834,0.26154,0.24727,0.13564,1.45561,1.0968,0.99496,0.008746,0.008746,0.008746
21,1085.2,1.53292,1.13864,1.02695,0.34132,0.26115,0.23967,0.13154,1.46779,1.11605,0.99689,0.00868,0.00868,0.00868
22,1134.58,1.51529,1.12023,1.02347,0.36856,0.26828,0.2544,0.14024,1.44441,1.10117,0.98908,0.008614,0.008614,0.008614
23,1184.69,1.51073,1.11517,1.01913,0.36339,0.27188,0.25383,0.14049,1.43029,1.06199,0.98435,0.008548,0.008548,0.008548
24,1234.55,1.50479,1.11155,1.01892,0.35034,0.28204,0.26214,0.14591,1.4323,1.05992,0.98953,0.008482,0.008482,0.008482
25,1284.73,1.49438,1.1016,1.01737,0.35808,0.26876,0.25669,0.14362,1.43068,1.06801,0.98343,0.008416,0.008416,0.008416
26,1334.25,1.49729,1.10054,1.0176,0.37411,0.27443,0.26,0.14673,1.41135,1.05961,0.97931,0.00835,0.00835,0.00835
27,1384.3,1.4815,1.08982,1.01309,0.35878,0.28777,0.26606,0.14852,1.40761,1.05871,0.97903,0.008284,0.008284,0.008284
28,1434.34,1.49192,1.08792,1.01437,0.38208,0.27954,0.26477,0.14609,1.41005,1.0373,0.97847,0.008218,0.008218,0.008218
29,1483.71,1.48254,1.08448,1.01262,0.35664,0.27527,0.26071,0.14674,1.40017,1.04905,0.97725,0.008152,0.008152,0.008152
30,1533.77,1.47545,1.07915,1.0126,0.38156,0.28231,0.26889,0.14826,1.40339,1.04477,0.98079,0.008086,0.008086,0.008086
31,1583.79,1.47678,1.07642,1.00896,0.36794,0.29197,0.27227,0.14973,1.40985,1.04055,0.9795,0.00802,0.00802,0.00802
32,1633.61,1.46864,1.06413,1.00582,0.38664,0.28806,0.27526,0.15364,1.39915,1.02521,0.97534,0.007954,0.007954,0.007954
33,1683.76,1.46726,1.06418,1.00805,0.37313,0.2903,0.27566,0.15542,1.37993,1.02113,0.9729,0.007888,0.007888,0.007888
34,1733.91,1.46375,1.06493,1.00375,0.38469,0.28736,0.27351,0.15403,1.38546,1.0217,0.97264,0.007822,0.007822,0.007822
35,1783.48,1.46633,1.06075,1.00398,0.37634,0.3013,0.28167,0.15804,1.37057,1.01723,0.96951,0.007756,0.007756,0.007756
36,1833.34,1.44911,1.04928,1.00323,0.39722,0.28092,0.27522,0.15599,1.38508,1.03015,0.97505,0.00769,0.00769,0.00769
37,1882.96,1.44834,1.04696,1.00165,0.39892,0.29232,0.28178,0.1592,1.36928,1.0075,0.96859,0.007624,0.007624,0.007624
38,1932.95,1.44123,1.03567,0.99983,0.38599,0.29477,0.28427,0.15954,1.36903,1.00162,0.96907,0.007558,0.007558,0.007558
39,1983,1.43698,1.03719,1.00189,0.37719,0.29301,0.2802,0.15848,1.36372,1.01698,0.96695,0.007492,0.007492,0.007492
40,2032.72,1.438,1.03987,1.00045,0.39092,0.29077,0.28458,0.1623,1.35839,1.00435,0.96771,0.007426,0.007426,0.007426
41,2082.9,1.43555,1.02732,0.9972,0.39895,0.29882,0.28606,0.16039,1.3675,0.99967,0.96748,0.00736,0.00736,0.00736
42,2132.76,1.43853,1.0312,0.99542,0.38652,0.29539,0.28483,0.16176,1.3566,1.00635,0.96661,0.007294,0.007294,0.007294
43,2182.23,1.4201,1.02081,0.99566,0.39552,0.30203,0.29103,0.16469,1.35588,0.99205,0.96548,0.007228,0.007228,0.007228
44,2232.25,1.428,1.02209,0.99806,0.38732,0.30309,0.28776,0.1631,1.35088,0.99158,0.964,0.007162,0.007162,0.007162
45,2281.85,1.42592,1.01978,0.99694,0.38918,0.29595,0.28599,0.16144,1.35127,0.99451,0.9643,0.007096,0.007096,0.007096
46,2331.33,1.42317,1.01322,0.99416,0.39839,0.29589,0.29074,0.16485,1.34666,0.98991,0.96219,0.00703,0.00703,0.00703
47,2381.42,1.41468,1.00876,0.99251,0.40479,0.29724,0.29328,0.16656,1.35344,0.9848,0.96351,0.006964,0.006964,0.006964
48,2431.5,1.42443,1.01932,0.99474,0.38909,0.29653,0.29064,0.16462,1.34474,0.99118,0.9625,0.006898,0.006898,0.006898
49,2480.93,1.40792,1.00291,0.98891,0.40219,0.30564,0.29634,0.16859,1.33693,0.97558,0.95914,0.006832,0.006832,0.006832
50,2530.81,1.41393,1.0116,0.99447,0.41199,0.29652,0.29574,0.16791,1.34254,0.97877,0.96175,0.006766,0.006766,0.006766
51,2580.46,1.40447,1.00011,0.9907,0.38292,0.3121,0.29792,0.16917,1.33821,0.97638,0.95948,0.0067,0.0067,0.0067
52,2630.7,1.40784,1.00151,0.9889,0.39947,0.30907,0.30118,0.1696,1.33768,0.97061,0.95989,0.006634,0.006634,0.006634
53,2680.45,1.40199,0.99089,0.98672,0.41227,0.30202,0.29907,0.16867,1.3417,0.9715,0.96131,0.006568,0.006568,0.006568
54,2732.77,1.40063,0.99294,0.98694,0.39183,0.30788,0.29763,0.16948,1.32766,0.96811,0.95538,0.006502,0.006502,0.006502
55,2782.49,1.3957,0.98779,0.98699,0.38371,0.31494,0.30133,0.17133,1.33016,0.9693,0.95831,0.006436,0.006436,0.006436
56,2832.52,1.39355,0.98587,0.98432,0.40075,0.30541,0.30151,0.17154,1.33416,0.97186,0.95902,0.00637,0.00637,0.00637
57,2882.45,1.393,0.9849,0.98461,0.41215,0.31467,0.30651,0.17615,1.3179,0.95864,0.95362,0.006304,0.006304,0.006304
58,2932.41,1.39787,0.98672,0.98584,0.40888,0.30765,0.30263,0.1727,1.33045,0.96119,0.95668,0.006238,0.006238,0.006238
59,2982.29,1.39048,0.97971,0.98392,0.40511,0.30684,0.30178,0.17241,1.3201,0.96569,0.95424,0.006172,0.006172,0.006172
60,3031.94,1.38378,0.97555,0.9826,0.40975,0.31623,0.30523,0.17412,1.3201,0.95682,0.95565,0.006106,0.006106,0.006106
61,3081.48,1.38594,0.97253,0.98028,0.40853,0.31165,0.30609,0.17511,1.31903,0.95925,0.95481,0.00604,0.00604,0.00604
62,3131.04,1.3848,0.97552,0.98327,0.41183,0.31131,0.306,0.17359,1.32143,0.95915,0.95493,0.005974,0.005974,0.005974
63,3180.93,1.38547,0.97041,0.98463,0.42859,0.30587,0.30761,0.17532,1.31006,0.9546,0.95182,0.005908,0.005908,0.005908
64,3230.8,1.37633,0.9652,0.98086,0.41027,0.30994,0.30575,0.17361,1.3157,0.95848,0.95474,0.005842,0.005842,0.005842
65,3280.57,1.37575,0.96497,0.98276,0.40849,0.31198,0.30606,0.17397,1.31682,0.95135,0.9533,0.005776,0.005776,0.005776
66,3330.41,1.38003,0.96682,0.9801,0.40596,0.31155,0.30776,0.17683,1.30911,0.94727,0.9515,0.00571,0.00571,0.00571
67,3380.51,1.3796,0.96507,0.97937,0.42462,0.30752,0.30856,0.17617,1.31625,0.95309,0.95306,0.005644,0.005644,0.005644
68,3430.12,1.36844,0.95364,0.97796,0.42324,0.31283,0.30926,0.17645,1.30919,0.95164,0.95126,0.005578,0.005578,0.005578
69,3479.64,1.36734,0.95704,0.97953,0.4319,0.31094,0.31067,0.17671,1.31187,0.95185,0.9536,0.005512,0.005512,0.005512
70,3529.88,1.3645,0.95133,0.97596,0.42697,0.31337,0.31326,0.17831,1.30437,0.94542,0.94949,0.005446,0.005446,0.005446
71,3580.35,1.36348,0.95122,0.97706,0.40895,0.31477,0.31071,0.17713,1.30467,0.94594,0.94961,0.00538,0.00538,0.00538
72,3629.91,1.36513,0.95185,0.97627,0.42106,0.31251,0.31125,0.1779,1.30248,0.94338,0.94906,0.005314,0.005314,0.005314
