epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.148,2.87896,3.44984,1.60247,0.28866,0.09773,0.06802,0.03174,2.01475,2.10285,1.16767,0.0701478,0.00331691,0.00331691
2,134.276,1.97215,2.01665,1.1615,0.19646,0.1246,0.08173,0.04017,1.90975,1.83371,1.08897,0.0401039,0.00660635,0.00660635
3,186.134,1.93398,1.84715,1.12551,0.20444,0.17751,0.09459,0.04763,1.88189,1.99851,1.0985,0.010016,0.0098518,0.0098518
4,238.439,1.87368,1.71313,1.10045,0.17746,0.17103,0.12157,0.06325,1.77755,1.59068,1.0611,0.009802,0.009802,0.009802
5,291.683,1.80906,1.61252,1.07026,0.16163,0.169,0.12077,0.0624,1.81472,1.60294,1.05536,0.009736,0.009736,0.009736
6,343.477,1.75537,1.539,1.05131,0.22209,0.19464,0.15859,0.085,1.69387,1.4251,1.02706,0.00967,0.00967,0.00967
7,396.364,1.7187,1.47856,1.03689,0.25517,0.20989,0.17769,0.0987,1.6305,1.36438,1.00758,0.009604,0.009604,0.009604
8,451.546,1.68975,1.43949,1.02807,0.26165,0.22053,0.18324,0.10181,1.60576,1.31685,0.99294,0.009538,0.009538,0.009538
9,505.663,1.67369,1.41017,1.01939,0.22923,0.21889,0.17209,0.0944,1.61571,1.40592,0.99546,0.009472,0.009472,0.009472
10,558.499,1.65572,1.37971,1.01579,0.26881,0.23036,0.19682,0.11053,1.57275,1.321,0.98555,0.009406,0.009406,0.009406
11,612.597,1.63393,1.34976,1.00884,0.37646,0.23328,0.19426,0.10818,1.57055,1.30588,0.98473,0.00934,0.00934,0.00934
12,665.758,1.61174,1.31859,0.99915,0.30784,0.23491,0.20902,0.11503,1.5286,1.22493,0.97216,0.009274,0.009274,0.009274
13,718.418,1.61044,1.31668,1.0025,0.30685,0.23346,0.2084,0.11613,1.53929,1.24677,0.97359,0.009208,0.009208,0.009208
14,771.081,1.59699,1.29455,0.99493,0.32216,0.23313,0.21612,0.1213,1.52916,1.207,0.9669,0.009142,0.009142,0.009142
15,823.708,1.58404,1.28008,0.99142,0.30709,0.23256,0.21856,0.12295,1.52346,1.19614,0.96711,0.009076,0.009076,0.009076
16,876.801,1.57302,1.26202,0.98947,0.31474,0.2504,0.22998,0.12773,1.49981,1.18266,0.96151,0.00901,0.00901,0.00901
17,929.586,1.57117,1.25639,0.98215,0.30513,0.2652,0.23253,0.12852,1.48567,1.19695,0.96184,0.008944,0.008944,0.008944
18,982.67,1.57163,1.24912,0.97965,0.32839,0.24776,0.22995,0.1304,1.50048,1.17955,0.95635,0.008878,0.008878,0.008878
