epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1796,1.80077,2.51035,1.08892,0.34455,0.15719,0.11566,0.06155,1.64397,1.64029,1.02036,0.0701478,0.00331691,0.00331691
2,137.16,1.73957,1.64092,1.04403,0.31509,0.18585,0.14096,0.07553,1.71888,1.47222,1.00787,0.0401039,0.00660635,0.00660635
3,189.824,1.76746,1.55685,1.03543,0.3476,0.15674,0.14168,0.07408,1.74147,1.69435,1.04426,0.010016,0.0098518,0.0098518
4,238.136,1.74345,1.50002,1.02922,0.23975,0.22022,0.16921,0.09293,1.63852,1.42016,0.9922,0.009802,0.009802,0.009802
5,288.05,1.69336,1.42767,1.00632,0.27489,0.2154,0.18265,0.10204,1.60909,1.41216,0.97767,0.009736,0.009736,0.009736
6,337.072,1.64993,1.36853,0.99278,0.28762,0.22485,0.19233,0.10662,1.57279,1.2847,0.96725,0.00967,0.00967,0.00967
7,386.275,1.62464,1.32158,0.9832,0.32425,0.2444,0.21818,0.12198,1.5477,1.2485,0.95883,0.009604,0.009604,0.009604
8,435.553,1.60102,1.2956,0.97672,0.32179,0.25198,0.22508,0.12557,1.53182,1.23312,0.95408,0.009538,0.009538,0.009538
9,484.524,1.59308,1.27381,0.9728,0.31416,0.23761,0.2154,0.12143,1.53366,1.26196,0.96162,0.009472,0.009472,0.009472
10,533.404,1.57643,1.24975,0.96961,0.34036,0.26176,0.23587,0.13314,1.49863,1.21235,0.95207,0.009406,0.009406,0.009406
11,582.935,1.55722,1.22777,0.9653,0.36748,0.26121,0.23983,0.1349,1.48838,1.16532,0.95004,0.00934,0.00934,0.00934
12,632.324,1.54072,1.20289,0.95878,0.34698,0.26004,0.24305,0.13686,1.46425,1.14576,0.94008,0.009274,0.009274,0.009274
13,682.19,1.54056,1.19954,0.96283,0.33751,0.2709,0.2467,0.13895,1.45233,1.16597,0.94124,0.009208,0.009208,0.009208
14,731.754,1.53002,1.18475,0.95759,0.34671,0.26581,0.24253,0.13667,1.47159,1.14817,0.9411,0.009142,0.009142,0.009142
15,781.533,1.52126,1.17664,0.95538,0.35088,0.28661,0.26387,0.14949,1.43521,1.10302,0.93155,0.009076,0.009076,0.009076
16,831.812,1.50927,1.15956,0.95369,0.36574,0.28332,0.26699,0.14908,1.45502,1.11458,0.93657,0.00901,0.00901,0.00901
17,881.652,1.50949,1.15659,0.94937,0.38033,0.27584,0.264,0.15015,1.42365,1.10834,0.93011,0.008944,0.008944,0.008944
18,931.525,1.51065,1.14965,0.94738,0.3729,0.27931,0.27164,0.15315,1.43016,1.09306,0.93797,0.008878,0.008878,0.008878
19,981.626,1.49326,1.1344,0.94555,0.35996,0.28526,0.26258,0.14831,1.43819,1.11217,0.9323,0.008812,0.008812,0.008812
20,1032.21,1.48966,1.12959,0.94776,0.36519,0.28375,0.26852,0.15215,1.43746,1.09641,0.92915,0.008746,0.008746,0.008746
21,1082.68,1.49097,1.12887,0.94495,0.38247,0.28729,0.27699,0.15588,1.41283,1.08509,0.92723,0.00868,0.00868,0.00868
22,1133.43,1.47452,1.11047,0.94166,0.36841,0.28226,0.26796,0.15128,1.42241,1.10285,0.92994,0.008614,0.008614,0.008614
23,1183.64,1.47241,1.10808,0.94007,0.3504,0.29477,0.26647,0.15224,1.41964,1.08413,0.92888,0.008548,0.008548,0.008548
24,1234.23,1.46913,1.10543,0.93976,0.39451,0.29585,0.28351,0.16061,1.40241,1.06654,0.92881,0.008482,0.008482,0.008482
25,1285.22,1.46029,1.0943,0.93894,0.37343,0.29169,0.2787,0.16043,1.39894,1.098,0.92346,0.008416,0.008416,0.008416
