epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4007,3.84056,3.64701,2.40931,0.17228,0.07986,0.04836,0.01973,2.54791,2.25122,1.44217,0.0701478,0.00331691,0.00331691
2,139.386,2.43005,2.22731,1.38735,0.17586,0.10856,0.06725,0.029,2.21485,1.8908,1.24936,0.0401039,0.00660635,0.00660635
3,197.713,2.22025,2.00635,1.27905,0.09584,0.12647,0.07703,0.03547,2.09973,1.8387,1.19782,0.010016,0.0098518,0.0098518
4,255.976,2.05492,1.81393,1.21554,0.18479,0.14191,0.11192,0.0559,1.87293,1.55965,1.13718,0.009802,0.009802,0.009802
5,315.039,1.94537,1.67826,1.17314,0.17099,0.15283,0.11322,0.05619,1.87942,1.53044,1.11385,0.009736,0.009736,0.009736
6,373.206,1.85768,1.59382,1.14339,0.21724,0.18384,0.14274,0.07193,1.72069,1.38232,1.07412,0.00967,0.00967,0.00967
7,431.485,1.80345,1.52775,1.12067,0.24777,0.16908,0.15437,0.07817,1.71241,1.42562,1.07862,0.009604,0.009604,0.009604
8,489.493,1.75911,1.47981,1.10747,0.25202,0.19886,0.16928,0.09023,1.63053,1.31464,1.05401,0.009538,0.009538,0.009538
9,547.651,1.73744,1.44533,1.09667,0.23325,0.19161,0.15882,0.08588,1.63392,1.29817,1.06448,0.009472,0.009472,0.009472
10,604.972,1.71033,1.41143,1.091,0.25241,0.21254,0.17205,0.09412,1.60674,1.31128,1.04896,0.009406,0.009406,0.009406
11,663.375,1.67935,1.37845,1.08305,0.35751,0.21902,0.18117,0.09749,1.60398,1.28949,1.03465,0.00934,0.00934,0.00934
12,721.255,1.65182,1.34266,1.06904,0.37338,0.21961,0.19508,0.10612,1.53417,1.21069,1.02197,0.009274,0.009274,0.009274
13,779.153,1.64468,1.33538,1.07238,0.29623,0.23224,0.20479,0.11312,1.50784,1.21187,1.01199,0.009208,0.009208,0.009208
14,837.346,1.62648,1.31014,1.06403,0.28449,0.23007,0.20214,0.11111,1.53643,1.1864,1.01595,0.009142,0.009142,0.009142
15,895.003,1.61239,1.29503,1.05945,0.28631,0.23961,0.21322,0.11748,1.48981,1.16961,1.00723,0.009076,0.009076,0.009076
16,952.879,1.59675,1.27698,1.05693,0.28581,0.24256,0.21328,0.11701,1.48712,1.19837,1.00589,0.00901,0.00901,0.00901
17,1010.47,1.5933,1.27058,1.04837,0.30409,0.24658,0.2164,0.1199,1.48014,1.14984,1.013,0.008944,0.008944,0.008944
18,1068.43,1.58702,1.25788,1.04537,0.28836,0.24975,0.22325,0.12155,1.46689,1.15871,1.00607,0.008878,0.008878,0.008878
19,1126.16,1.56513,1.24221,1.0403,0.31767,0.24008,0.22279,0.12444,1.45795,1.12662,0.99754,0.008812,0.008812,0.008812
20,1184.11,1.55987,1.23119,1.04437,0.33366,0.24549,0.22809,0.12745,1.46099,1.1383,0.99612,0.008746,0.008746,0.008746
21,1242.05,1.55374,1.2229,1.0375,0.30398,0.25014,0.22423,0.12352,1.4678,1.15046,0.99988,0.00868,0.00868,0.00868
22,1299.46,1.53807,1.20665,1.03472,0.33583,0.23947,0.23107,0.12959,1.43619,1.11491,0.99091,0.008614,0.008614,0.008614
23,1357.42,1.53309,1.19896,1.02973,0.29541,0.24419,0.2176,0.11927,1.46767,1.14832,0.99874,0.008548,0.008548,0.008548
24,1414.7,1.5265,1.19611,1.02891,0.32273,0.25453,0.23297,0.12868,1.4396,1.11822,0.9911,0.008482,0.008482,0.008482
25,1472.17,1.51324,1.18093,1.02721,0.3355,0.26256,0.2437,0.13525,1.41597,1.07993,0.98564,0.008416,0.008416,0.008416
26,1530.15,1.5159,1.18228,1.02777,0.32521,0.25971,0.237,0.13126,1.43426,1.10426,0.98539,0.00835,0.00835,0.00835
27,1587.87,1.49769,1.16795,1.02157,0.34017,0.26287,0.24749,0.13697,1.42773,1.08733,0.9839,0.008284,0.008284,0.008284
28,1645.9,1.51113,1.16687,1.02366,0.3603,0.26888,0.24433,0.13649,1.4042,1.07929,0.97908,0.008218,0.008218,0.008218
29,1703.46,1.50071,1.16313,1.02231,0.35231,0.26342,0.24751,0.13895,1.40118,1.06327,0.9772,0.008152,0.008152,0.008152
30,1761.35,1.49287,1.15682,1.02156,0.35136,0.26889,0.25354,0.14252,1.39543,1.06153,0.97548,0.008086,0.008086,0.008086
31,1819.65,1.49489,1.15233,1.01776,0.34928,0.26957,0.25284,0.1417,1.39398,1.05825,0.97804,0.00802,0.00802,0.00802
32,1877.3,1.48542,1.13837,1.01454,0.33886,0.27321,0.25667,0.14485,1.38807,1.05876,0.97407,0.007954,0.007954,0.007954
33,1935.42,1.48274,1.13563,1.01625,0.35083,0.27053,0.25399,0.14411,1.38608,1.05644,0.97388,0.007888,0.007888,0.007888
34,1992.96,1.47805,1.13609,1.01137,0.35499,0.28923,0.26742,0.14962,1.37489,1.03468,0.97162,0.007822,0.007822,0.007822
35,2051.81,1.48033,1.12786,1.01096,0.41131,0.27523,0.26703,0.14971,1.37635,1.0316,0.97258,0.007756,0.007756,0.007756
36,2109.61,1.46237,1.11616,1.00927,0.35306,0.27936,0.26358,0.14811,1.37192,1.03291,0.97007,0.00769,0.00769,0.00769
37,2166.84,1.46456,1.11695,1.00946,0.34283,0.27764,0.26138,0.14686,1.37995,1.03803,0.97119,0.007624,0.007624,0.007624
38,2224.37,1.45561,1.10548,1.00657,0.35471,0.27576,0.26022,0.14755,1.3825,1.03584,0.97078,0.007558,0.007558,0.007558
39,2281.88,1.44993,1.10453,1.00903,0.37635,0.28351,0.27282,0.15449,1.36137,1.01852,0.96927,0.007492,0.007492,0.007492
40,2340.08,1.45168,1.10659,1.00714,0.36487,0.28437,0.27056,0.15391,1.35401,1.01363,0.96411,0.007426,0.007426,0.007426
41,2397.62,1.44943,1.09435,1.00305,0.36808,0.28257,0.26979,0.15352,1.35542,1.02295,0.9653,0.00736,0.00736,0.00736
42,2455.29,1.45467,1.0993,1.00272,0.38108,0.27946,0.27334,0.15354,1.35586,1.01362,0.96746,0.007294,0.007294,0.007294
43,2512.62,1.43521,1.08967,1.00221,0.3582,0.28197,0.27096,0.15325,1.3556,1.00821,0.96367,0.007228,0.007228,0.007228
44,2569.95,1.44126,1.08852,1.00353,0.37015,0.29479,0.27713,0.15734,1.3472,1.00307,0.96616,0.007162,0.007162,0.007162
45,2627.79,1.43836,1.08839,1.00324,0.3771,0.28913,0.27619,0.15725,1.34362,1.00152,0.96145,0.007096,0.007096,0.007096
46,2685.14,1.43719,1.0799,1.00024,0.37589,0.29398,0.27818,0.15964,1.34138,1.00007,0.96207,0.00703,0.00703,0.00703
47,2743.22,1.44507,1.0877,0.99883,0.37704,0.28754,0.27879,0.15734,1.37867,1.0347,0.96341,0.006964,0.006964,0.006964
48,2800.55,1.46894,1.11077,1.0004,0.3822,0.29239,0.27797,0.15709,1.36973,1.03212,0.95901,0.006898,0.006898,0.006898
49,2857.96,1.4578,1.10157,0.99306,0.39039,0.29286,0.28209,0.16208,1.36751,1.02304,0.95558,0.006832,0.006832,0.006832
50,2916.05,1.46908,1.11061,0.99811,0.39486,0.29942,0.28681,0.16329,1.37055,1.02597,0.9549,0.006766,0.006766,0.006766
51,2973.67,1.4617,1.10176,0.99347,0.38039,0.29545,0.28366,0.16223,1.37252,1.02795,0.95328,0.0067,0.0067,0.0067
52,3031.25,1.46362,1.10184,0.98868,0.37672,0.29624,0.28093,0.15973,1.37264,1.0312,0.95159,0.006634,0.006634,0.006634
53,3088.68,1.45825,1.09536,0.98558,0.37821,0.29231,0.28235,0.16118,1.37808,1.03335,0.9508,0.006568,0.006568,0.006568
54,3150.1,1.45828,1.09727,0.98544,0.38085,0.30056,0.2847,0.16302,1.36431,1.02546,0.94892,0.006502,0.006502,0.006502
55,3207.81,1.45026,1.08993,0.98414,0.38505,0.29595,0.28476,0.16345,1.35936,1.02066,0.9473,0.006436,0.006436,0.006436
56,3265.05,1.44765,1.08879,0.98063,0.37924,0.29737,0.28537,0.16304,1.36525,1.01933,0.9475,0.00637,0.00637,0.00637
57,3322.98,1.44905,1.08725,0.982,0.37084,0.30063,0.28168,0.16179,1.36216,1.02282,0.94709,0.006304,0.006304,0.006304
58,3380.35,1.45215,1.08733,0.98162,0.38709,0.30015,0.28965,0.16665,1.35468,1.01299,0.94549,0.006238,0.006238,0.006238
59,3438.44,1.44561,1.08025,0.97985,0.39445,0.29539,0.29005,0.16545,1.35244,1.01792,0.94472,0.006172,0.006172,0.006172
60,3496.11,1.44012,1.07831,0.97881,0.39933,0.30375,0.29282,0.16708,1.35351,1.00659,0.94453,0.006106,0.006106,0.006106
61,3554.12,1.44051,1.07478,0.97534,0.39185,0.30343,0.29139,0.16748,1.34943,1.01085,0.94271,0.00604,0.00604,0.00604
62,3611.68,1.43816,1.07627,0.97805,0.3934,0.30192,0.29276,0.16695,1.35486,1.00435,0.94454,0.005974,0.005974,0.005974
63,3669.47,1.43841,1.06937,0.97961,0.40258,0.29621,0.29197,0.16797,1.346,1.00246,0.94113,0.005908,0.005908,0.005908
64,3727.65,1.42928,1.06604,0.97566,0.39915,0.30124,0.29465,0.16908,1.34458,0.99981,0.94209,0.005842,0.005842,0.005842
65,3785.82,1.43032,1.06398,0.97792,0.39397,0.30239,0.29407,0.16897,1.34443,1.00108,0.94214,0.005776,0.005776,0.005776
66,3843.22,1.43275,1.06451,0.97448,0.39561,0.31043,0.29867,0.17205,1.33756,0.99573,0.93992,0.00571,0.00571,0.00571
67,3901.39,1.43089,1.06297,0.97328,0.39677,0.30915,0.29726,0.17068,1.33781,0.99601,0.93968,0.005644,0.005644,0.005644
68,3958.6,1.42073,1.05028,0.97227,0.38774,0.31398,0.29776,0.17106,1.33392,0.9919,0.93885,0.005578,0.005578,0.005578
69,4016.04,1.41683,1.05396,0.97228,0.40101,0.30934,0.29986,0.17194,1.33368,0.9926,0.93759,0.005512,0.005512,0.005512
70,4073.89,1.41863,1.04727,0.97069,0.3963,0.31206,0.30066,0.17253,1.32862,0.9898,0.93758,0.005446,0.005446,0.005446
