epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0391,3.4388,3.04523,2.0798,0.07857,0.11774,0.07067,0.02981,2.38363,2.04512,1.35719,0.0701478,0.00331691,0.00331691
2,123.994,2.24193,1.9265,1.32006,0.24124,0.13927,0.09329,0.04262,2.01683,1.65992,1.19102,0.0401039,0.00660635,0.00660635
3,175.389,2.11398,1.75964,1.23936,0.23941,0.16446,0.10878,0.0503,1.93456,1.67458,1.14266,0.010016,0.0098518,0.0098518
4,226.476,1.9697,1.63415,1.18319,0.26094,0.17527,0.14,0.07171,1.80136,1.43093,1.10552,0.009802,0.009802,0.009802
5,277.835,1.8616,1.51881,1.14087,0.24753,0.18595,0.15519,0.0799,1.71875,1.38164,1.07687,0.009736,0.009736,0.009736
6,329.104,1.78765,1.44643,1.11364,0.22834,0.19875,0.16119,0.08231,1.72936,1.30159,1.06707,0.00967,0.00967,0.00967
7,380.277,1.73932,1.38515,1.09466,0.26093,0.21009,0.17626,0.09268,1.61962,1.27904,1.05392,0.009604,0.009604,0.009604
8,431.698,1.69997,1.34624,1.08395,0.27285,0.21798,0.18848,0.10137,1.62367,1.263,1.04936,0.009538,0.009538,0.009538
9,483.024,1.68011,1.32105,1.07437,0.268,0.20914,0.17958,0.09874,1.59798,1.30588,1.04041,0.009472,0.009472,0.009472
10,533.473,1.65204,1.28898,1.06823,0.29756,0.23303,0.20592,0.11052,1.55474,1.20042,1.02585,0.009406,0.009406,0.009406
11,584.646,1.62692,1.26264,1.06288,0.38935,0.22457,0.20218,0.10864,1.54853,1.20784,1.01945,0.00934,0.00934,0.00934
12,635.499,1.59981,1.22896,1.04981,0.29986,0.25192,0.22323,0.12229,1.50472,1.15593,1.00927,0.009274,0.009274,0.009274
13,686.414,1.59442,1.22662,1.054,0.30693,0.24908,0.22622,0.12489,1.48533,1.15775,1.00552,0.009208,0.009208,0.009208
14,737.537,1.57735,1.20612,1.0461,0.33261,0.25582,0.23581,0.13015,1.48742,1.12802,1.00417,0.009142,0.009142,0.009142
15,788.612,1.56481,1.19456,1.04287,0.35172,0.26225,0.24483,0.13518,1.45724,1.11412,0.99532,0.009076,0.009076,0.009076
16,839.409,1.54967,1.17744,1.03915,0.34694,0.26638,0.24839,0.13729,1.46251,1.10417,0.99656,0.00901,0.00901,0.00901
17,890.222,1.54576,1.1707,1.03151,0.33694,0.25884,0.24196,0.13369,1.43719,1.10762,0.99341,0.008944,0.008944,0.008944
18,940.516,1.54252,1.16448,1.02978,0.32007,0.25774,0.23321,0.12858,1.45884,1.11197,0.99984,0.008878,0.008878,0.008878
19,991.006,1.52368,1.14478,1.02576,0.36134,0.26451,0.25385,0.13939,1.44152,1.08288,0.99359,0.008812,0.008812,0.008812
20,1042.1,1.51662,1.13727,1.0293,0.35356,0.26599,0.25109,0.13905,1.42596,1.07418,0.98624,0.008746,0.008746,0.008746
21,1092.75,1.51467,1.13303,1.02404,0.34383,0.27406,0.25625,0.14182,1.42315,1.06474,0.98821,0.00868,0.00868,0.00868
22,1143.3,1.49723,1.11716,1.02066,0.35326,0.27664,0.25611,0.14173,1.41883,1.06756,0.98594,0.008614,0.008614,0.008614
23,1193.66,1.49355,1.11139,1.01656,0.37581,0.27379,0.25889,0.14507,1.40759,1.05891,0.98376,0.008548,0.008548,0.008548
24,1244.53,1.48793,1.10814,1.01591,0.36541,0.29062,0.26924,0.15087,1.39486,1.04943,0.9781,0.008482,0.008482,0.008482
25,1295.67,1.47798,1.09918,1.01501,0.36616,0.28839,0.26899,0.15027,1.38867,1.0513,0.97785,0.008416,0.008416,0.008416
26,1346.31,1.47829,1.09622,1.01487,0.37333,0.27867,0.26571,0.15071,1.39729,1.05658,0.97542,0.00835,0.00835,0.00835
27,1396.81,1.46286,1.0839,1.01082,0.36143,0.28615,0.26753,0.15011,1.38269,1.02887,0.97543,0.008284,0.008284,0.008284
28,1447.69,1.47251,1.08177,1.01124,0.38911,0.27587,0.27074,0.15051,1.38188,1.02354,0.97235,0.008218,0.008218,0.008218
29,1498.01,1.46421,1.0808,1.00969,0.38094,0.28397,0.27356,0.15518,1.36733,1.01717,0.96755,0.008152,0.008152,0.008152
30,1549.19,1.45727,1.07249,1.00959,0.39164,0.29382,0.28021,0.15637,1.36419,1.0196,0.97186,0.008086,0.008086,0.008086
