epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7234,4.45931,4.13685,2.89528,0.22173,0.02331,0.01938,0.00682,3.30739,4.48972,1.84088,0.0701478,0.00331691,0.00331691
2,127.224,2.85187,2.65615,1.5622,0.08444,0.08062,0.05228,0.02071,2.58717,2.20397,1.36928,0.0401258,0.0066283,0.0066283
3,177.532,2.44779,2.2707,1.36734,0.08023,0.10804,0.066,0.03072,2.17982,1.90987,1.23489,0.0100819,0.00991769,0.00991769
4,228.026,2.20217,2.00817,1.27043,0.1529,0.12323,0.0948,0.0474,1.97825,1.68636,1.15781,0.009901,0.009901,0.009901
5,279.06,2.05142,1.82282,1.21078,0.1888,0.14357,0.11126,0.055,1.89106,1.56357,1.12305,0.009868,0.009868,0.009868
6,331.247,1.94559,1.7062,1.17272,0.29205,0.16929,0.12593,0.0641,1.79341,1.47687,1.10028,0.009835,0.009835,0.009835
7,382.979,1.88299,1.62327,1.14736,0.19445,0.16,0.12821,0.06603,1.79039,1.51821,1.09573,0.009802,0.009802,0.009802
8,434.712,1.82705,1.56496,1.13058,0.22778,0.18733,0.14702,0.07845,1.70156,1.39451,1.06812,0.009769,0.009769,0.009769
9,486.381,1.79871,1.52681,1.11803,0.23742,0.18195,0.15114,0.08134,1.66938,1.34575,1.0681,0.009736,0.009736,0.009736
10,537.962,1.76521,1.48951,1.11012,0.22699,0.20439,0.16433,0.08749,1.62449,1.32156,1.05079,0.009703,0.009703,0.009703
11,589.454,1.73164,1.45016,1.10162,0.21463,0.20601,0.15525,0.08169,1.61217,1.32998,1.03938,0.00967,0.00967,0.00967
12,640.607,1.698,1.4098,1.08534,0.35347,0.20484,0.17703,0.09402,1.56333,1.24889,1.03453,0.009637,0.009637,0.009637
13,692.013,1.6946,1.4,1.09,0.26243,0.21432,0.18408,0.1001,1.55905,1.23918,1.028,0.009604,0.009604,0.009604
14,743.788,1.67026,1.375,1.07954,0.27438,0.22168,0.19316,0.10588,1.5477,1.21093,1.02326,0.009571,0.009571,0.009571
15,795.547,1.65365,1.3561,1.074,0.28823,0.22303,0.20027,0.10935,1.50988,1.19324,1.01508,0.009538,0.009538,0.009538
16,847.529,1.63587,1.33472,1.07137,0.27887,0.23076,0.20275,0.1106,1.51251,1.19202,1.01706,0.009505,0.009505,0.009505
17,899.076,1.6298,1.32392,1.06145,0.32163,0.22355,0.20461,0.11263,1.48122,1.17399,1.00752,0.009472,0.009472,0.009472
18,950.666,1.62445,1.31167,1.05852,0.30448,0.23337,0.20676,0.115,1.4838,1.18808,1.00655,0.009439,0.009439,0.009439
19,1002.41,1.60289,1.29457,1.05324,0.29872,0.22864,0.20795,0.11505,1.49137,1.18411,1.00663,0.009406,0.009406,0.009406
20,1053.81,1.59284,1.28417,1.05619,0.30367,0.23806,0.21386,0.11782,1.47642,1.17015,0.99941,0.009373,0.009373,0.009373
21,1105.37,1.5863,1.27229,1.04884,0.31583,0.24476,0.22195,0.12287,1.4637,1.15085,1.002,0.00934,0.00934,0.00934
22,1156.45,1.57142,1.257,1.04704,0.39919,0.23121,0.21929,0.1219,1.46441,1.14367,0.99948,0.009307,0.009307,0.009307
23,1207.94,1.56764,1.24776,1.04115,0.30259,0.24922,0.22209,0.12385,1.45082,1.12452,0.99393,0.009274,0.009274,0.009274
24,1259.69,1.55856,1.24375,1.03999,0.31068,0.24944,0.23043,0.12699,1.44753,1.12801,0.99426,0.009241,0.009241,0.009241
25,1311.3,1.54799,1.22729,1.03913,0.33476,0.24798,0.23318,0.13052,1.43165,1.1121,0.98875,0.009208,0.009208,0.009208
26,1363.05,1.54715,1.22723,1.0383,0.33328,0.24595,0.22761,0.12785,1.44165,1.12808,0.98822,0.009175,0.009175,0.009175
27,1414.29,1.52915,1.2113,1.03293,0.31862,0.26106,0.23978,0.1337,1.424,1.09439,0.98787,0.009142,0.009142,0.009142
28,1465.69,1.53881,1.20788,1.03373,0.32476,0.25622,0.23647,0.13058,1.42004,1.08961,0.98539,0.009109,0.009109,0.009109
29,1516.85,1.53153,1.20666,1.03269,0.3465,0.25569,0.24103,0.13499,1.40498,1.08022,0.98123,0.009076,0.009076,0.009076
30,1568.4,1.52102,1.19901,1.03153,0.34448,0.26723,0.24521,0.13638,1.40837,1.08157,0.98373,0.009043,0.009043,0.009043
31,1619.62,1.52318,1.19433,1.02827,0.35208,0.25657,0.24764,0.13805,1.4107,1.07943,0.98312,0.00901,0.00901,0.00901
32,1671.04,1.51311,1.18323,1.0249,0.35855,0.26696,0.2548,0.14146,1.39115,1.06193,0.97731,0.008977,0.008977,0.008977
33,1722.78,1.51038,1.17837,1.02592,0.35918,0.26533,0.25054,0.14255,1.39338,1.06105,0.97645,0.008944,0.008944,0.008944
34,1774.54,1.50514,1.17793,1.01993,0.35653,0.27599,0.26049,0.14614,1.38424,1.05231,0.9763,0.008911,0.008911,0.008911
35,1826.39,1.50714,1.17164,1.0209,0.3686,0.26654,0.25932,0.14592,1.3724,1.05208,0.97398,0.008878,0.008878,0.008878
36,1877.33,1.48641,1.15488,1.01818,0.35344,0.27877,0.2588,0.14504,1.3744,1.04551,0.97034,0.008845,0.008845,0.008845
37,1928.7,1.49011,1.15693,1.01824,0.3565,0.27966,0.25834,0.14559,1.37357,1.04238,0.97238,0.008812,0.008812,0.008812
38,1979.7,1.47988,1.14721,1.01502,0.35698,0.28384,0.26392,0.14876,1.37255,1.03811,0.97275,0.008779,0.008779,0.008779
39,2030.9,1.47585,1.14607,1.01822,0.36432,0.28918,0.27247,0.15345,1.36263,1.03527,0.96863,0.008746,0.008746,0.008746
40,2082.3,1.47822,1.15117,1.01636,0.36167,0.27087,0.26404,0.1497,1.3642,1.03998,0.96748,0.008713,0.008713,0.008713
41,2133.27,1.47347,1.13335,1.012,0.35832,0.28,0.26496,0.15023,1.36555,1.03719,0.96852,0.00868,0.00868,0.00868
